location,Basileia,Basileia,Basileia
lat,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697
variable,Temperature,Wind Speed,Wind Direction
unit,°C,km/h,°
level,2 m elevation corrected,10 m,10 m
resolution,hourly,hourly,hourly
aggregation,None,None,None
timestamp,Temperature,Wind Speed,Wind Direction
20241009T0500,11.840529,14.4,126.869896
20241009T0600,11.790529,15.072783,130.15599
20241009T0700,12.420529,13.746156,135.0
20241009T0800,12.650529,20.073025,122.55
20241009T0900,13.700529,23.740902,130.69553
20241009T1000,15.8005295,22.493519,129.80557
20241009T1100,19.65053,17.673029,146.63364
20241009T1200,18.600529,20.018072,142.30576
20241009T1300,21.330528,18.733839,177.79741
20241009T1400,21.46053,21.626984,182.86241
20241009T1500,21.410528,24.503809,190.15427
20241009T1600,20.15053,19.48661,168.27489
20241009T1700,18.81053,20.456745,151.63095
20241009T1800,17.15053,19.174856,129.66785
20241009T1900,17.610529,18.584509,134.21518
20241009T2000,16.37053,15.629971,141.5463
20241009T2100,19.410528,26.299719,199.17902
20241009T2200,19.110529,41.054203,206.56505
20241009T2300,18.850529,42.518116,205.0462
20241010T0000,17.96053,37.290855,210.77405
20241010T0100,17.010529,33.912685,217.23483
20241010T0200,16.990528,28.528723,227.04541
20241010T0300,14.830529,41.896328,250.94229
20241010T0400,13.610529,35.1862,262.9477
20241010T0500,13.340529,26.208395,254.0546
20241010T0600,12.950529,24.162947,245.3441
20241010T0700,13.440529,26.867676,252.0506
20241010T0800,14.020529,25.516865,253.61046
20241010T0900,14.760529,27.155552,255.41107
20241010T1000,15.490529,29.69727,263.7365
20241010T1100,15.890529,29.899511,267.92996
20241010T1200,15.870529,25.2924,265.10092
20241010T1300,15.570529,24.522316,266.63354
20241010T1400,15.580529,24.490587,268.3153
20241010T1500,15.260529,23.051247,268.21008
20241010T1600,13.530529,19.70815,260.5377
20241010T1700,13.750529,15.683776,260.7539
20241010T1800,13.150529,17.377226,256.82745
20241010T1900,11.900529,16.862455,253.8866
20241010T2000,11.700529,14.973577,242.8189
20241010T2100,11.980529,17.654688,249.71744
20241010T2200,12.090529,18.129137,263.15723
20241010T2300,11.540529,17.373497,264.05313
20241011T0000,10.830529,17.518356,260.5377
20241011T0100,10.620529,15.034041,253.30075
20241011T0200,10.250529,15.192682,256.29303
20241011T0300,10.470529,15.941944,263.51694
20241011T0400,10.290529,12.6462,265.10092
20241011T0500,10.360529,9.114471,260.90973
20241011T0600,10.410529,9.47012,261.25385
20241011T0700,11.0505295,14.830076,264.4278
20241011T0800,11.380529,14.830076,264.4278
20241011T0900,11.760529,13.493999,279.21103
20241011T1000,12.690529,12.10157,300.37915
20241011T1100,13.040529,9.504272,322.69604
20241011T1200,13.510529,3.5455887,293.9625
20241011T1300,14.480529,3.319036,319.3987
20241011T1400,14.640529,3.9763298,354.8056
20241011T1500,14.430529,3.9763298,5.194412
20241011T1600,14.120529,4.3349743,4.7636414
20241011T1700,13.380529,4.68,360.0
